Timestamp,Num_of_Apps,Total_Users,Avg_Breakdowns,Avg_Response_Time,Avg_Errors,Avg_Uptime,Issue,Deployment_Freq,Success_Rate,Environment
18-05-2024 23:53,7,246,4,10,20,0.716691696,critical,120,0.660245512,Environment 65
15-05-2024 18:08,18,349,5,31,5,0.730264315,critical,198,0.630005268,Environment 33
15-05-2024 01:24,6,420,6,26,8,0.428322789,critical,490,0.812286514,Environment 41
13-05-2024 04:09,9,282,5,18,15,0.639106984,Medium,473,0.874458159,Environment 62
16-05-2024 18:13,6,105,4,9,1,0.763809138,Medium,287,0.648368563,Environment 17
17-05-2024 16:15,15,489,3,43,9,0.435562674,Medium,233,0.758018767,Environment 115
21-05-2024 09:40,11,115,7,8,12,0.371476312,critical,300,0.693988708,Environment 89
13-05-2024 07:27,9,486,6,4,15,0.399214593,low,340,0.742853097,Environment 40
20-05-2024 14:05,14,124,9,16,12,0.767837929,critical,52,0.571402601,Environment 69
18-05-2024 21:53,7,403,3,16,12,0.592557332,critical,313,0.81902617,Environment 107
13-05-2024 23:02,11,155,10,30,8,0.762717866,critical,124,0.77074083,Environment 51
15-05-2024 17:24,18,224,7,45,16,0.538312054,critical,409,0.933288539,Environment 64
17-05-2024 20:01,12,343,9,27,16,0.736523016,critical,298,0.510400449,Environment 102
12-05-2024 15:24,14,191,0,22,14,0.707932805,critical,207,0.612652541,Environment 52
18-05-2024 09:08,12,497,9,3,14,0.538113352,critical,444,0.752334645,Environment 50
21-05-2024 07:51,13,339,9,34,12,0.364292128,critical,76,0.87785732,Environment 80
20-05-2024 20:18,7,171,0,3,16,0.440021777,Medium,239,0.794254361,Environment 17
12-05-2024 14:55,11,381,10,50,1,0.760404552,Medium,119,0.784508438,Environment 37
16-05-2024 06:09,11,246,6,7,9,0.788601203,Medium,262,0.761662394,Environment 4
13-05-2024 06:14,12,459,10,3,5,0.467065832,low,130,0.580345809,Environment 37
15-05-2024 15:23,11,135,4,10,2,0.881142096,critical,308,0.601609548,Environment 19
15-05-2024 14:40,6,408,5,30,7,0.62381899,critical,377,0.930889412,Environment 59
11-05-2024 17:19,14,352,6,30,14,0.770020273,low,445,0.717830679,Environment 69
12-05-2024 10:35,12,368,5,50,16,0.371446447,critical,288,0.917539608,Environment 42
18-05-2024 04:00,17,291,0,29,1,0.927637527,low,236,0.843387216,Environment 40
15-05-2024 14:06,20,158,7,50,4,0.739287486,Medium,365,0.519810101,Environment 113
20-05-2024 05:36,17,293,5,37,10,0.44235661,Medium,392,0.609239415,Environment 4
13-05-2024 02:46,11,190,1,12,8,0.877914862,critical,271,0.690512609,Environment 80
12-05-2024 03:33,9,280,10,29,15,0.886659026,critical,271,0.563622547,Environment 12
17-05-2024 14:22,13,308,8,35,6,0.434442294,low,185,0.842227078,Environment 98
15-05-2024 18:47,9,220,1,21,19,0.867458894,Medium,336,0.534985693,Environment 71
14-05-2024 01:19,6,138,1,49,11,0.515465705,low,70,0.841928486,Environment 77
19-05-2024 22:04,5,425,1,19,4,0.512138052,low,409,0.502026454,Environment 22
14-05-2024 02:39,20,467,6,41,13,0.760025602,low,100,0.507479113,Environment 94
21-05-2024 10:32,20,384,7,3,9,0.937290786,Medium,434,0.541592982,Environment 23
16-05-2024 01:29,7,330,4,38,1,0.831873717,Medium,188,0.840325027,Environment 99
16-05-2024 21:13,7,214,9,30,18,0.618632804,critical,382,0.658231489,Environment 92
12-05-2024 19:37,16,108,3,50,11,0.497967681,critical,64,0.699293387,Environment 118
16-05-2024 01:14,18,484,2,27,8,0.753401367,low,326,0.724644915,Environment 39
15-05-2024 16:00,8,100,8,18,7,0.483535373,critical,125,0.51382776,Environment 19
15-05-2024 05:28,18,188,4,32,14,0.533629622,critical,466,0.876720836,Environment 34
19-05-2024 23:36,18,497,9,33,0,0.608169569,low,474,0.763420375,Environment 81
13-05-2024 12:57,16,148,2,47,11,0.917063312,low,113,0.611680045,Environment 71
17-05-2024 15:56,11,477,2,7,15,0.612413016,critical,296,0.751547262,Environment 74
15-05-2024 09:21,6,180,6,13,12,0.418429509,critical,265,0.727688059,Environment 93
20-05-2024 12:50,16,334,0,6,1,0.790131303,Medium,425,0.832600518,Environment 26
20-05-2024 05:45,11,383,1,30,0,0.762670194,Medium,317,0.888776785,Environment 62
15-05-2024 23:50,17,158,1,18,2,0.391271183,low,489,0.90059718,Environment 66
17-05-2024 02:34,10,474,9,37,5,0.516820033,Medium,385,0.504758966,Environment 30
14-05-2024 00:30,15,168,9,9,4,0.412946118,Medium,452,0.844279906,Environment 2
12-05-2024 17:02,7,340,0,22,12,0.511726253,critical,312,0.879942093,Environment 81
15-05-2024 15:25,6,430,2,38,16,0.857829673,low,448,0.688506311,Environment 47
18-05-2024 12:26,8,216,3,1,2,0.81579541,Medium,399,0.715203314,Environment 62
18-05-2024 22:18,5,162,9,11,20,0.388950974,low,236,0.646987495,Environment 119
14-05-2024 15:46,19,424,9,7,7,0.534790785,Medium,461,0.823635842,Environment 99
20-05-2024 15:08,8,341,8,50,4,0.937904721,low,382,0.824579454,Environment 21
17-05-2024 08:13,14,134,1,17,2,0.899438496,low,183,0.625851727,Environment 42
17-05-2024 00:49,19,458,1,30,19,0.421539403,critical,259,0.55948974,Environment 21
13-05-2024 12:45,5,290,2,43,8,0.852903865,Medium,226,0.887996076,Environment 96
17-05-2024 14:39,12,245,4,48,3,0.524320171,low,411,0.739827634,Environment 61
18-05-2024 23:51,13,145,6,47,8,0.405591063,low,83,0.87903016,Environment 6
20-05-2024 17:17,17,236,2,21,5,0.879544289,low,319,0.714606505,Environment 101
14-05-2024 01:27,9,496,3,24,14,0.846790522,low,93,0.843398995,Environment 2
12-05-2024 12:34,6,293,2,3,19,0.487047294,low,95,0.938687109,Environment 19
19-05-2024 17:40,11,242,7,38,18,0.538413544,critical,361,0.51379911,Environment 11
19-05-2024 16:47,19,353,1,26,9,0.872897593,critical,91,0.799221396,Environment 118
21-05-2024 07:48,11,421,9,47,2,0.592280949,low,57,0.756491304,Environment 7
14-05-2024 03:48,13,359,5,1,2,0.768246855,Medium,170,0.783136538,Environment 65
12-05-2024 03:49,10,477,10,9,17,0.605675013,Medium,477,0.838122245,Environment 32
13-05-2024 01:35,7,164,10,36,7,0.547250959,low,405,0.578870149,Environment 12
19-05-2024 18:59,8,318,9,19,11,0.476645089,Medium,469,0.765013158,Environment 96
18-05-2024 00:56,12,191,1,5,6,0.938178851,Medium,409,0.592381568,Environment 94
14-05-2024 18:07,20,319,0,19,7,0.836184682,low,116,0.671899282,Environment 95
20-05-2024 04:20,15,184,2,40,0,0.603224033,Medium,318,0.763977327,Environment 19
19-05-2024 23:01,14,207,6,3,20,0.837329099,Medium,370,0.943375923,Environment 56
12-05-2024 15:15,11,469,1,20,1,0.860673668,critical,358,0.938343372,Environment 49
12-05-2024 10:39,13,182,8,18,16,0.577149695,Medium,161,0.824977742,Environment 103
13-05-2024 11:32,11,328,4,42,1,0.318101715,Medium,182,0.659987,Environment 108
21-05-2024 08:55,12,119,3,36,12,0.60970437,critical,340,0.714372405,Environment 117
19-05-2024 02:31,14,183,3,43,10,0.648446582,critical,229,0.920203853,Environment 53
21-05-2024 12:24,11,412,8,28,11,0.830341747,low,327,0.629043466,Environment 50
17-05-2024 16:37,8,298,10,23,5,0.625469517,Medium,319,0.613469922,Environment 63
15-05-2024 12:50,20,369,1,35,4,0.54390823,critical,168,0.699336693,Environment 90
18-05-2024 19:02,7,491,6,23,13,0.912407291,low,178,0.72016605,Environment 65
11-05-2024 20:42,6,212,4,11,12,0.873162117,low,458,0.669217954,Environment 67
16-05-2024 18:11,11,330,3,40,14,0.607099779,low,204,0.792175149,Environment 31
11-05-2024 17:42,9,127,0,10,18,0.942870519,low,476,0.512460934,Environment 101
17-05-2024 13:46,6,151,5,30,15,0.797653922,Medium,141,0.929458817,Environment 71
19-05-2024 08:22,18,483,6,9,16,0.655132576,critical,133,0.528670876,Environment 97
18-05-2024 07:05,18,170,9,48,4,0.50689118,low,400,0.788633161,Environment 64
14-05-2024 17:23,18,164,9,42,20,0.866422131,critical,484,0.753072074,Environment 82
20-05-2024 23:01,12,466,3,24,4,0.884309487,Medium,457,0.738812695,Environment 115
17-05-2024 21:50,14,339,1,25,5,0.947674434,Medium,368,0.614352546,Environment 18
18-05-2024 21:27,20,279,9,35,0,0.326119371,Medium,402,0.85114303,Environment 35
12-05-2024 10:51,17,323,10,12,12,0.683916258,Medium,173,0.885902393,Environment 93
11-05-2024 16:20,8,464,9,17,11,0.592668442,critical,179,0.859324339,Environment 82
13-05-2024 17:13,12,480,0,21,5,0.33613714,Medium,421,0.924517618,Environment 116
17-05-2024 09:29,16,261,10,47,19,0.745264792,Medium,326,0.66050249,Environment 36
20-05-2024 07:02,12,427,0,49,14,0.427190774,low,111,0.630515241,Environment 42
18-05-2024 16:10,19,313,4,26,16,0.358458423,low,219,0.636094215,Environment 111
20-05-2024 00:25,11,442,4,15,7,0.735233312,low,126,0.692247508,Environment 44
18-05-2024 19:15,12,452,2,38,12,0.47002736,low,459,0.567121984,Environment 18
12-05-2024 00:18,6,196,9,11,1,0.415438826,low,70,0.830362769,Environment 101
13-05-2024 09:09,9,469,5,34,16,0.806532764,critical,113,0.631770346,Environment 23
13-05-2024 18:37,15,287,6,7,0,0.65985562,critical,462,0.875677756,Environment 102
21-05-2024 05:55,10,383,9,8,15,0.548667049,critical,224,0.714848014,Environment 80
20-05-2024 22:45,17,360,10,50,6,0.507170295,critical,300,0.504405366,Environment 39
17-05-2024 17:06,16,220,9,38,18,0.361398712,low,336,0.839189083,Environment 113
20-05-2024 01:58,7,202,8,17,18,0.765797475,low,66,0.732383612,Environment 35
13-05-2024 03:07,8,396,10,19,16,0.686800657,critical,214,0.613669602,Environment 23
13-05-2024 03:24,16,494,2,14,6,0.57652696,Medium,277,0.587052106,Environment 51
19-05-2024 16:57,5,152,6,19,6,0.670041897,critical,174,0.604941634,Environment 3
14-05-2024 16:31,15,241,3,14,14,0.477252446,low,196,0.554427423,Environment 26
14-05-2024 00:45,10,125,7,22,8,0.712017813,critical,243,0.58004334,Environment 119
14-05-2024 15:14,9,487,6,42,10,0.385080212,low,193,0.67528673,Environment 28
21-05-2024 05:19,15,262,5,28,1,0.341504819,low,489,0.658097863,Environment 46
12-05-2024 06:28,14,328,8,6,16,0.324543732,low,349,0.934005808,Environment 66
13-05-2024 14:40,14,151,2,5,4,0.514236797,low,139,0.859920385,Environment 54
13-05-2024 13:53,5,287,0,10,14,0.610584622,Medium,317,0.820595252,Environment 32
20-05-2024 08:23,10,225,8,34,0,0.930084512,low,113,0.638132253,Environment 29
18-05-2024 02:58,15,217,2,24,2,0.741370583,Medium,362,0.671223871,Environment 65
20-05-2024 03:18,16,436,7,30,3,0.386313688,low,127,0.53803983,Environment 8
15-05-2024 08:05,8,408,1,6,20,0.498567502,Medium,147,0.550669773,Environment 35
14-05-2024 23:43,10,219,1,33,3,0.562506518,critical,181,0.765409371,Environment 16
20-05-2024 03:28,13,110,3,1,19,0.549416123,Medium,104,0.689029873,Environment 84
16-05-2024 16:04,11,138,7,26,17,0.766518958,Medium,452,0.841447745,Environment 55
12-05-2024 11:34,9,334,3,33,6,0.413249041,low,133,0.581792928,Environment 119
14-05-2024 13:00,20,253,4,7,6,0.866047313,critical,375,0.8190076,Environment 26
18-05-2024 02:42,10,300,0,44,1,0.755168049,critical,166,0.667898307,Environment 91
19-05-2024 16:44,12,338,5,15,14,0.645810329,Medium,383,0.75172297,Environment 45
12-05-2024 15:32,18,228,9,10,11,0.414482226,critical,380,0.651440926,Environment 26
19-05-2024 04:58,11,434,3,21,15,0.922155581,low,248,0.653485257,Environment 22
14-05-2024 14:27,13,274,0,9,10,0.651629632,low,439,0.865135503,Environment 98
18-05-2024 19:50,20,272,0,49,17,0.419079733,Medium,251,0.895224852,Environment 104
14-05-2024 22:51,11,261,10,20,17,0.454638849,Medium,346,0.61826446,Environment 43
16-05-2024 08:27,18,285,1,15,0,0.729127018,critical,490,0.591488246,Environment 43
18-05-2024 18:36,20,277,3,6,13,0.701487544,low,364,0.593781541,Environment 17
19-05-2024 23:51,16,368,6,38,5,0.755140442,critical,381,0.874355494,Environment 113
18-05-2024 02:56,12,359,5,39,10,0.728019619,critical,414,0.758947792,Environment 104
18-05-2024 21:00,9,129,5,19,10,0.856913652,Medium,469,0.767581074,Environment 52
13-05-2024 02:22,8,416,8,27,14,0.381208633,Medium,348,0.928928668,Environment 32
19-05-2024 19:45,8,167,2,38,6,0.933832885,Medium,462,0.782920788,Environment 81
18-05-2024 11:00,14,477,1,38,4,0.520028261,Medium,479,0.588060818,Environment 89
12-05-2024 03:01,20,442,10,43,18,0.915273757,low,471,0.640366963,Environment 27
17-05-2024 22:59,16,288,3,27,20,0.564866189,critical,57,0.916989718,Environment 85
16-05-2024 01:06,19,266,1,50,7,0.599802176,Medium,309,0.527151593,Environment 70
16-05-2024 05:53,14,331,0,36,13,0.64698439,low,213,0.739322857,Environment 25
17-05-2024 09:49,7,192,1,39,7,0.504883214,critical,114,0.65478835,Environment 98
16-05-2024 23:19,19,335,4,39,0,0.842941756,Medium,322,0.862067937,Environment 57
19-05-2024 09:52,17,361,2,16,16,0.938281617,low,296,0.674033542,Environment 80
11-05-2024 20:52,14,213,4,29,14,0.792402479,critical,217,0.662565694,Environment 79
12-05-2024 16:26,19,238,10,37,20,0.554451521,Medium,149,0.593290706,Environment 78
17-05-2024 09:29,17,244,9,1,18,0.928757518,critical,183,0.908813568,Environment 118
14-05-2024 09:23,13,156,0,10,0,0.946919776,low,422,0.938651786,Environment 55
11-05-2024 20:04,7,211,4,7,5,0.909462237,critical,99,0.617716248,Environment 47
19-05-2024 12:26,20,262,2,50,10,0.854057604,low,312,0.776552873,Environment 40
20-05-2024 11:19,17,366,4,48,10,0.823892231,low,375,0.94536234,Environment 70
17-05-2024 09:07,10,453,2,45,11,0.57781641,Medium,424,0.670387887,Environment 113
12-05-2024 20:22,9,247,10,4,7,0.333659365,critical,280,0.748596279,Environment 34
19-05-2024 14:26,11,270,1,2,8,0.680881472,Medium,149,0.528526707,Environment 114
14-05-2024 23:54,16,361,9,37,20,0.578830025,Medium,112,0.889115195,Environment 25
19-05-2024 12:16,18,387,7,31,20,0.815077556,low,109,0.507498078,Environment 94
13-05-2024 17:09,19,455,9,2,0,0.738158876,low,417,0.671065536,Environment 24
16-05-2024 06:06,10,338,7,39,12,0.561052429,Medium,168,0.671732937,Environment 48
18-05-2024 01:31,14,426,4,31,0,0.502094263,critical,189,0.592514718,Environment 114
14-05-2024 10:08,14,410,6,43,1,0.534473876,critical,181,0.942917663,Environment 27
21-05-2024 10:23,20,105,3,33,0,0.844603388,Medium,245,0.755331264,Environment 60
20-05-2024 20:01,13,359,9,20,10,0.300059639,low,138,0.683413156,Environment 17
16-05-2024 17:45,18,256,10,17,5,0.581470398,low,182,0.862384441,Environment 110
12-05-2024 19:41,15,418,2,26,20,0.432156704,Medium,145,0.832476367,Environment 106
16-05-2024 00:24,7,286,0,35,16,0.906413286,critical,444,0.940719311,Environment 34
20-05-2024 16:10,18,353,8,27,2,0.699493869,Medium,219,0.553930658,Environment 106
20-05-2024 14:23,19,246,0,25,3,0.78562244,critical,168,0.623089246,Environment 32
15-05-2024 07:57,9,394,1,32,15,0.632993355,low,254,0.52635408,Environment 19
14-05-2024 21:05,8,225,1,19,6,0.580011344,Medium,476,0.826977398,Environment 111
15-05-2024 00:02,9,466,7,25,15,0.37120272,critical,152,0.842684659,Environment 37
12-05-2024 03:43,14,141,3,31,8,0.639233206,Medium,142,0.63535197,Environment 28
18-05-2024 10:56,11,462,0,35,12,0.7799375,Medium,134,0.570755379,Environment 41
