Organisation,Environment,Project,Repo_Name,Action,Commit ID,Commit Timestamp,Developer ID,Lines Added/Deleted,PR ID,PR Status,Pipeline ID,Pipeline Status,Pipeline Duration,Pipeline Start Timestamp,Pipeline End Timestamp,Deployment ID,Deployment Timestamp
Supply Chain,Prod,Project2,Repo2,Merge,189afe8c-442b-4d2b-946c-decf4fb96d2a,2023-04-04 19:46:09,7a03709d-a099-4928-af04-9219e776b798,63,e8bc49d5-d34f-452a-a597-71686ef813b8,Closed,2c85fac2-1185-40d6-8e25-ae6c412066c2,success,74,2024-03-26 01:30:37,2024-03-26 02:44:37,6d35ddb6-339a-4fe2-9ad9-780055b4fc51,2023-08-03 15:24:11
Digital,Dev,Project2,Repo5,Merge,46021798-7f9b-4742-9c18-fd158969ac4f,2022-08-01 13:29:26,11c4fc6f-e0a6-4ba0-ac06-6d5a608413bc,326,f43afc6a-217b-4dc5-8565-35f4fe1df719,Open,246a9a52-36d2-48a2-a4ee-ab1e5a530463,success,106,2023-10-14 15:41:17,2023-10-14 17:27:17,059ec64f-799d-44fa-a68b-ed3cc8910e9d,2024-01-15 05:21:55
Tech,Prod,Project3,Repo5,Merge,349fe2ec-4143-4b8d-82fe-a21d4512c1b3,2024-05-16 18:37:21,a744502a-f719-4907-b649-c18e365c3353,528,a9d3c2c6-44e9-479d-a060-349eca182aeb,Open,ace7e0cb-29ff-447b-8fb0-954a39ac5e05,failure,56,2024-04-27 22:56:06,2024-04-27 23:52:06,d2659533-e59f-425c-a00e-bb1f9beb143c,2023-09-18 10:26:52
Digital,Dev,Project2,Repo1,Merge,be20d77e-4e51-4fce-b73e-3622337e3a3b,2022-06-28 05:04:22,45e6919a-2a37-4c16-a4ee-5284ca1da316,313,a3c9ac78-1626-471e-b120-5116913620ab,Merged,64deeba8-de92-4775-9442-d3ff7a723c45,failure,76,2023-09-25 23:08:30,2023-09-26 00:24:30,6ace0226-fc20-4e29-b659-92ed5a4b7862,2024-02-12 19:50:07
Digital,Dev,Project3,Repo4,Push,0d31a584-261e-4a63-b72b-bfa3a4b3af9a,2022-07-21 13:45:00,7867ff27-850f-407e-9214-4782a22d46e6,46,79f63317-45f4-43d4-a064-d446084f8ce9,Closed,b978e3b1-591e-4f07-aa03-42f48cbfa0ae,failure,47,2024-04-29 01:20:03,2024-04-29 02:07:03,1f38a159-b256-4bcd-b3d5-10eef01e563e,2024-05-24 17:11:59
Tech,Stag,Project2,Repo2,Merge,734ceaa3-0065-4909-8a88-df48c6c83e29,2023-01-30 04:53:28,c0b58888-f70d-4a0a-8da9-ea0f10323d58,410,a657440c-9a54-43e5-af0b-aad91891648c,Closed,6453c808-976f-4d9f-bf51-0378a4abc3c7,success,50,2024-03-05 09:26:01,2024-03-05 10:16:01,976a206a-dd70-47c2-8152-fefd1cf208da,2023-07-19 11:05:28
Supply Chain,Prod,Project3,Repo3,Push,50ef9ca2-a3ac-4955-975f-df94cc8a7641,2024-04-04 05:31:25,9b106dda-d156-44a6-b234-3d1d52013255,246,0905edb8-7c85-466c-bae0-6cac4f526d88,Merged,81ba3311-75ed-41d4-a9ee-e54ae4263fae,success,50,2024-05-17 02:42:25,2024-05-17 03:32:25,18b3f106-45e1-45b8-b7bc-f1b37f77bc4b,2024-03-21 21:47:08
Tech,Prod,Project1,Repo4,Push,0c9ba30d-6db6-464f-9ff0-fdff927afea3,2023-02-16 21:36:22,f9c7c8c1-d1fa-4a2e-a2f1-1b4b6b384b5c,48,8515ca1f-747d-40c7-8ea9-d41b228b5572,Open,00b57393-0e76-49a9-b9e9-114d809ee103,success,67,2024-03-04 03:53:19,2024-03-04 05:00:19,cb99cb4f-ec45-4482-9a77-7b399ec7cbec,2023-07-15 03:06:52
Digital,Dev,Project2,Repo1,Push,f5a412b8-5ddc-4d60-88ad-3d89407747bb,2023-03-02 16:36:19,001bfcd4-078f-4fb6-992c-62695494da86,686,3a26eebf-f17e-43a8-8c7b-4b372656081a,Merged,04f2a392-9b07-4b46-a156-d73bde3d5678,failure,64,2024-01-17 03:21:32,2024-01-17 04:25:32,86dd0910-809b-4562-a164-cb52aff38350,2023-09-02 10:56:05
Digital,Dev,Project1,Repo3,Push,5da6edbc-64d5-436a-87ca-c68611eefe4d,2023-12-26 22:09:59,b1637ea2-6bf4-49ae-96ed-6ac2879d68b2,539,f8a28707-54c1-4411-a640-2040a7dc542a,Merged,3841b1f0-6eb7-4637-987a-be067897c97a,failure,107,2023-07-20 12:57:18,2023-07-20 14:44:18,032cfa7d-def9-4957-a69e-0b4139d46194,2023-08-18 12:39:11
Digital,Dev,Project3,Repo5,Push,86885ded-10b2-4c89-b22a-a97ce7f039fe,2023-10-03 02:44:08,f6503876-05b0-412f-b7ad-8d1357bbf0b6,546,ea70cca5-c128-40ea-ba23-38e268e4ea64,Merged,1bd16178-d3b8-4fb5-8a2c-7e6c5344ba35,success,100,2024-02-20 22:01:23,2024-02-20 23:41:23,af154aec-1283-44c8-961c-6a795c865f6d,2024-02-23 03:55:44
Tech,Stag,Project2,Repo5,Push,1aec7c94-46ed-455a-955b-d7456916b797,2022-11-06 02:48:19,e954ec24-ec5b-42ce-a6b3-4a2ae06a2d42,787,0b6b8034-d376-4790-832a-8ce553b94d53,Closed,ea6c6c0a-775f-42de-86b1-39c91fd79826,failure,33,2023-12-28 12:21:33,2023-12-28 12:54:33,1922412f-c4f4-4979-a9ee-25696fbd520d,2024-02-06 14:12:27
Digital,Stag,Project1,Repo1,Merge,309c57d0-d3eb-4646-bf10-c1c608808454,2023-07-04 10:54:42,ccacbdf9-f68f-4a98-93a7-76b6b4aac4fb,937,3aa167a2-9c13-4d4b-86cd-7ba84e07a3a9,Open,e286ae1a-2a56-471e-84e6-88bb47114d9d,failure,94,2023-06-09 03:02:29,2023-06-09 04:36:29,6c6e490c-5d39-441f-a9c8-a88c11863cd9,2023-06-23 02:55:35
Digital,Stag,Project1,Repo1,Push,5525ee45-6ec1-4e7b-b8d3-e7045ed65db3,2022-11-16 14:39:51,89439eb6-11d0-4ab2-80db-81fe2d2c5ece,489,e9e75c41-1b9f-4cc3-84df-575b3f163df9,Merged,39d9d118-947d-4526-96fc-a72dcec3d180,failure,117,2024-04-28 21:35:04,2024-04-28 23:32:04,041fff3b-222a-4a15-a8be-58f842738bcb,2024-01-22 13:03:43
Digital,Prod,Project1,Repo2,Merge,e7846106-5b09-4295-8f72-9cad9ef71244,2024-05-18 23:46:51,c12dab9b-8aa5-421b-a60e-e2560e9429ea,963,18e5ffe9-3398-4118-b993-104b93b19b18,Open,635038af-bdde-4a2f-be32-5d2cbae7bbe9,success,91,2024-05-08 07:30:17,2024-05-08 09:01:17,d573b067-49d0-4b9f-8c2c-841987edb8ef,2023-11-13 12:18:42
Supply Chain,Prod,Project3,Repo4,Merge,5af1032e-579a-436e-9493-638193643e53,2022-12-06 16:59:48,9bf91a65-f657-4112-8e6d-2cab6b2bc9a7,525,b7296dac-2234-49c0-8b4c-d39e0c072b13,Closed,13956dec-98bc-4906-8058-b05ceadbac55,failure,14,2024-05-21 06:01:21,2024-05-21 06:15:21,1f7e8d95-f56f-4e27-9a9d-edf13f939104,2023-09-05 01:08:56
Supply Chain,Dev,Project3,Repo3,Push,0c468020-c02c-45d7-b3e2-964ca79fa221,2023-09-01 23:00:45,001bfcd4-078f-4fb6-992c-62695494da86,112,eae8fa7f-7aaa-433b-9a94-1a1377cef16d,Open,df730c3c-80bf-478d-91f2-4ce5994e30c7,success,84,2024-03-07 09:37:15,2024-03-07 11:01:15,b118ab50-537d-4d10-b208-a4ddd0bb877e,2023-07-02 07:08:29
