Organisation,Environment,Project,Repo_Name,Action,Commit ID,Commit Timestamp,Developer ID,Lines Added/Deleted,PR ID,PR Status,Pipeline ID,Pipeline Status,Pipeline Duration,Pipeline Start Timestamp,Pipeline End Timestamp,Deployment ID,Deployment Timestamp
Tech,Dev,Project2,Repo4,Push,a5e854a8-e73b-4ab4-95b8-332b89e2216e,2022-11-11 07:49:17,c1663447-3dc7-4d1f-9874-5d7a5539949c,15,6c3fbb9d-dafc-479d-8fbe-ed2f88f24647,Open,d6497cd5-4edf-452a-85b3-cd559b1f2f8c,failure,23,2023-12-02 19:05:54,2023-12-02 19:28:54,d6a97859-cead-42c6-9ab5-6fb0dc03a461,2024-04-27 10:55:24
Supply Chain,Dev,Project3,Repo4,Merge,25588217-0fe7-4fb1-b780-dd4df7f3e026,2023-04-06 15:53:34,748da52d-1d41-4a6a-bbc9-d4ad449fce98,947,f63b3980-4929-43ed-a207-c4a60410eb2e,Open,5397f3d0-6c7b-443a-924d-f4a89d8dbc57,success,61,2024-03-14 13:27:33,2024-03-14 14:28:33,a7e24964-8bf5-4582-a8d0-44164f95bc47,2024-04-18 14:11:03
Digital,Prod,Project2,Repo5,Push,3e40380c-1d77-46f5-8aa8-646555581ba4,2023-06-17 18:19:43,55791867-40f9-4627-94ad-2e88861b880a,55,7b8ea6a4-5b44-40da-be14-7d2ca96ae461,Open,c20b0844-bf16-4f78-8132-6aac7032308e,failure,105,2023-06-30 10:13:43,2023-06-30 11:58:43,4a287352-9689-4829-b94c-16bafc9a61a1,2023-12-08 21:50:29
Digital,Dev,Project1,Repo4,Merge,11ccc3a5-d169-41a9-8a50-44746036421b,2023-03-24 14:07:23,921fe87c-4145-4e15-8671-9444f6078f8c,421,f4db41c4-8594-46ef-9b05-9703fcc29eff,Open,37c2af30-cac5-4fa4-aae9-df67a467bdd0,failure,45,2023-10-10 05:53:26,2023-10-10 06:38:26,dbdf670d-c57a-43f3-a71d-841976feff31,2024-05-23 22:21:37
Supply Chain,Dev,Project2,Repo2,Merge,6bbed1a0-21a1-4114-9dba-6c114e2813b0,2023-12-17 09:15:21,c4b1b7d4-6304-469d-bb91-797450925ff1,571,f3bd97e7-3cb5-467e-855a-247db900da6f,Merged,8164ccf9-dd79-4145-8124-9224f4eec166,failure,104,2023-12-30 01:36:09,2023-12-30 03:20:09,436b0657-1963-4621-9529-1155a9fb5df0,2023-07-24 12:55:26
Tech,Stag,Project2,Repo2,Merge,0d3a8412-11f2-4111-9892-5ab99ba12dac,2023-02-28 18:58:03,8ac2ed9d-80ac-442c-90ef-762035edcc28,396,75ba1c8a-0624-4458-a744-b08e7b194e14,Closed,c61ea56f-0062-48da-a41f-f4910995508d,success,86,2024-04-29 21:18:31,2024-04-29 22:44:31,18a507ae-b54f-4053-88ec-3474b7258ef6,2023-10-06 17:55:28
Supply Chain,Stag,Project1,Repo4,Push,ecb06e5b-bea9-433b-aedf-b4bcb85eb093,2024-04-06 14:39:25,4752adf5-1fcc-40a7-98c7-739c9b3ca196,61,55496163-6251-4f8c-a5e1-86ae2285c34e,Closed,5658af02-9d56-4894-8a01-a4d891b3284a,success,53,2023-09-25 20:18:22,2023-09-25 21:11:22,7010a502-a96f-4e49-9c10-74a8475d19b0,2024-02-20 14:11:49
Tech,Stag,Project3,Repo4,Push,5e167b32-c15a-4610-9a1d-fcd860de9eab,2023-06-10 03:50:25,9537c2c5-bd87-483a-99c4-19a0b9e0c48d,238,82fa0313-bcdf-4456-941f-6ee73786bb07,Closed,9b15d8ec-9805-4f73-a8b8-b348c9f7b57c,failure,8,2024-05-05 19:23:18,2024-05-05 19:31:18,0ff78f1c-e637-4048-a1ff-a6eabeff7d9f,2023-07-28 07:29:53
Tech,Prod,Project3,Repo4,Merge,7282d4d5-6ced-430f-9f02-8eea97fa13bb,2022-12-02 02:07:23,ee8cdc31-031a-4042-8499-3a4135a4dcfa,948,aa89a1e5-6379-45e5-8a14-010b102491fd,Merged,6a324c1a-a85f-4bfa-ad4e-cae131859663,failure,9,2024-01-10 18:56:51,2024-01-10 19:05:51,82446318-d31d-44fd-9f57-85683b369868,2024-01-28 09:22:41
Tech,Dev,Project3,Repo2,Push,a3625d4d-194a-4e04-b866-340df8e265ff,2022-11-23 10:47:56,0a43b8c5-538a-4c8b-9d51-f3a44e153b18,469,be6b51b5-230c-46de-abd4-ee6fbfe52208,Open,4ed283a6-e9b5-4dc7-aadf-5c886dae17bc,failure,60,2023-10-08 19:32:48,2023-10-08 20:32:48,e57dcac2-4015-4230-985b-e65653283053,2024-01-02 17:15:01
